,job_title_short,salary_year_avg,salary_year_inflated
2125,Business Analyst,43200.0,44496.0
2129,Data Engineer,141000.0,145230.0
2133,Data Engineer,140000.0,144200.0
2155,Data Engineer,85000.0,87550.0
2242,Senior Data Engineer,147500.0,154875.0
2278,Data Scientist,95000.0,97850.0
2346,Data Scientist,206500.0,212695.0
2373,Data Engineer,300000.0,309000.0
2374,Data Scientist,140062.5,144264.375
2379,Data Scientist,101821.5,104876.145
2387,Data Engineer,145000.0,149350.0
2390,Data Analyst,70000.0,72100.0
2401,Data Analyst,35000.0,36050.0
2456,Data Engineer,90000.0,92700.0
2524,Data Scientist,75465.0,77728.95
2589,Senior Data Engineer,135000.0,141750.0
2602,Data Analyst,51014.0,52544.42
2615,Senior Data Engineer,160000.0,168000.0
2617,Data Engineer,177500.0,182825.0
2653,Business Analyst,130000.0,133900.0
2716,Senior Data Analyst,170000.0,178500.0
2730,Data Engineer,125000.0,128750.0
2744,Senior Data Engineer,131100.0,137655.0
2757,Data Scientist,138640.0,142799.2
2765,Data Engineer,150000.0,154500.0
2766,Senior Data Engineer,173500.0,182175.0
2785,Data Engineer,147500.0,151925.0
2816,Senior Data Scientist,170000.0,178500.0
2818,Data Analyst,111175.0,114510.25
2862,Data Scientist,113000.0,116390.0
2922,Business Analyst,85000.0,87550.0
2955,Data Scientist,140000.0,144200.0
2984,Senior Data Engineer,170500.0,179025.0
3016,Data Scientist,50400.0,51912.0
3021,Senior Data Engineer,140000.0,147000.0
3042,Data Scientist,195500.0,201365.0
3043,Data Engineer,140000.0,144200.0
3078,Data Analyst,95400.0,98262.0
3135,Data Analyst,70000.0,72100.0
3141,Senior Data Engineer,107000.0,112350.0
3165,Senior Data Scientist,172500.0,181125.0
3190,Senior Data Engineer,79200.0,83160.0
3216,Data Engineer,102000.0,105060.0
3233,Data Engineer,100000.0,103000.0
3237,Data Analyst,120000.0,123600.0
3249,Business Analyst,87500.0,90125.0
3256,Data Engineer,125000.0,128750.0
3263,Senior Data Analyst,87500.0,91875.0
3279,Data Scientist,170000.0,175100.0
3281,Data Engineer,90000.0,92700.0
3373,Data Scientist,173500.0,178705.0
3431,Data Scientist,68500.0,70555.0
3433,Data Scientist,120000.0,123600.0
3439,Data Scientist,192000.0,197760.0
3448,Senior Data Engineer,140000.0,147000.0
3457,Data Analyst,100500.0,103515.0
3470,Data Engineer,150000.0,154500.0
3497,Data Scientist,174000.0,179220.0
3518,Data Scientist,120000.0,123600.0
3531,Data Engineer,150000.0,154500.0
3534,Senior Data Scientist,187500.0,196875.0
3588,Data Analyst,155000.0,159650.0
3593,Data Scientist,224500.0,231235.0
3609,Data Engineer,102096.0,105158.88
3647,Data Engineer,145000.0,149350.0
3721,Senior Data Engineer,45000.0,47250.0
3807,Data Analyst,117500.0,121025.0
3816,Data Engineer,142500.0,146775.0
3877,Data Scientist,157500.0,162225.0
3878,Data Engineer,150000.0,154500.0
3904,Data Analyst,65000.0,66950.0
3930,Data Scientist,114516.0,117951.48
3941,Senior Data Engineer,147500.0,154875.0
3944,Data Engineer,157500.0,162225.0
3959,Data Analyst,110000.0,113300.0
3974,Data Engineer,118000.0,121540.0
4000,Data Engineer,105000.0,108150.0
4019,Data Engineer,110000.0,113300.0
4048,Data Engineer,180000.0,185400.0
4090,Data Scientist,136400.0,140492.0
4106,Data Scientist,127500.0,131325.0
4109,Data Engineer,147500.0,151925.0
4207,Data Engineer,150000.0,154500.0
4218,Data Engineer,110000.0,113300.0
4242,Senior Data Engineer,121600.0,127680.0
4262,Data Engineer,150000.0,154500.0
4317,Senior Data Scientist,100000.0,105000.0
4332,Data Scientist,220832.0,227456.96
4370,Senior Data Engineer,147500.0,154875.0
4375,Data Engineer,117500.0,121025.0
4428,Data Scientist,67500.0,69525.0
4443,Senior Data Analyst,150000.0,157500.0
4521,Software Engineer,56700.0,58401.0
4550,Senior Data Engineer,122560.0,128688.0
4604,Senior Data Engineer,145000.0,152250.0
4626,Senior Data Engineer,125000.0,131250.0
4640,Senior Data Scientist,155000.0,162750.0
4670,Senior Data Scientist,125000.0,131250.0
4681,Data Analyst,124500.0,128235.0
4685,Software Engineer,71280.0,73418.40000000001
4709,Data Analyst,77500.0,79825.0
4726,Data Analyst,80000.0,82400.0
4728,Data Analyst,109159.0,112433.77
4766,Data Engineer,117500.0,121025.0
4767,Senior Data Scientist,172118.5,180724.42500000002
4775,Data Analyst,34288.57421875,35317.2314453125
4798,Data Engineer,120000.0,123600.0
4806,Data Scientist,100000.0,103000.0
4809,Data Scientist,144850.0,149195.5
4881,Data Scientist,112500.0,115875.0
4900,Data Scientist,192000.0,197760.0
4907,Senior Data Engineer,375000.0,393750.0
4931,Data Engineer,90000.0,92700.0
4948,Data Analyst,149508.5,153993.755
4953,Business Analyst,90000.0,92700.0
4965,Data Analyst,111000.0,114330.0
4967,Data Analyst,99000.0,101970.0
5005,Data Engineer,250000.0,257500.0
5045,Data Scientist,160000.0,164800.0
5105,Senior Data Engineer,79200.0,83160.0
5141,Data Analyst,72250.0,74417.5
5167,Data Analyst,186500.0,192095.0
5182,Data Analyst,85000.0,87550.0
5262,Data Engineer,112500.0,115875.0
5275,Data Engineer,131000.0,134930.0
5423,Data Engineer,90000.0,92700.0
5460,Senior Data Scientist,125000.0,131250.0
5478,Data Analyst,70500.0,72615.0
5503,Data Engineer,70000.0,72100.0
5554,Business Analyst,64600.0,66538.0
5579,Senior Data Scientist,170000.0,178500.0
5580,Data Engineer,200000.0,206000.0
5628,Data Scientist,361000.0,371830.0
5658,Senior Data Engineer,200000.0,210000.0
5684,Data Engineer,125000.0,128750.0
5688,Senior Data Scientist,180000.0,189000.0
5703,Data Analyst,65000.0,66950.0
5709,Data Scientist,192000.0,197760.0
5795,Data Engineer,100000.0,103000.0
5809,Data Engineer,125000.0,128750.0
5829,Data Engineer,100000.0,103000.0
5839,Data Analyst,67500.0,69525.0
5862,Machine Learning Engineer,325000.0,334750.0
5887,Data Engineer,122500.0,126175.0
5946,Data Engineer,136000.0,140080.0
5949,Data Scientist,160000.0,164800.0
6046,Data Scientist,115000.0,118450.0
6233,Data Engineer,150000.0,154500.0
6263,Data Engineer,165000.0,169950.0
6305,Data Scientist,170000.0,175100.0
6325,Data Engineer,147500.0,151925.0
6350,Data Scientist,250000.0,257500.0
6382,Data Engineer,110000.0,113300.0
6431,Data Engineer,96760.5,99663.315
6442,Data Engineer,137500.0,141625.0
6471,Data Engineer,132000.0,135960.0
6496,Senior Data Scientist,129000.0,135450.0
6500,Data Engineer,144820.0,149164.6
6525,Business Analyst,63000.0,64890.0
6567,Data Analyst,56700.0,58401.0
6575,Data Scientist,176273.5,181561.70500000002
6615,Data Engineer,100000.0,103000.0
6707,Machine Learning Engineer,56700.0,58401.0
6748,Business Analyst,105000.0,108150.0
6755,Data Scientist,90000.0,92700.0
6825,Senior Data Analyst,84039.0,88240.95
6828,Data Scientist,110000.0,113300.0
6880,Data Scientist,234000.0,241020.0
6895,Senior Data Engineer,185000.0,194250.0
6941,Data Engineer,147500.0,151925.0
7001,Data Analyst,134984.0,139033.52
7006,Senior Data Engineer,136500.0,143325.0
7081,Data Analyst,76007.0,78287.21
7090,Data Engineer,284016.0,292536.48
7092,Data Scientist,285500.0,294065.0
7095,Data Scientist,123750.0,127462.5
7118,Data Scientist,167500.0,172525.0
7140,Senior Data Engineer,124500.0,130725.0
7170,Senior Data Engineer,89100.0,93555.0
7178,Data Analyst,125000.0,128750.0
7195,Software Engineer,79200.0,81576.0
7243,Data Engineer,164500.0,169435.0
7260,Data Analyst,90000.0,92700.0
7278,Data Engineer,143000.0,147290.0
7292,Data Analyst,115000.0,118450.0
7350,Data Analyst,150000.0,154500.0
7375,Data Engineer,125000.0,128750.0
7420,Data Scientist,175000.0,180250.0
7479,Senior Data Engineer,160000.0,168000.0
7616,Data Scientist,240000.0,247200.0
7714,Data Scientist,125000.0,128750.0
7727,Data Engineer,147500.0,151925.0
7731,Data Engineer,140000.0,144200.0
7737,Data Analyst,53014.0,54604.42
7764,Data Engineer,100000.0,103000.0
7771,Senior Data Engineer,162500.0,170625.0
7772,Data Engineer,199675.0,205665.25
7784,Data Analyst,135000.0,139050.0
7817,Data Scientist,115000.0,118450.0
7860,Data Engineer,136000.0,140080.0
7862,Data Engineer,89000.0,91670.0
7896,Data Scientist,30750.0,31672.5
7914,Data Engineer,130000.0,133900.0
7931,Data Analyst,51014.0,52544.42
7946,Data Engineer,147500.0,151925.0
7952,Data Engineer,175000.0,180250.0
7960,Senior Data Scientist,150000.0,157500.0
8007,Data Scientist,178500.0,183855.0
8060,Data Scientist,127500.0,131325.0
8069,Senior Data Analyst,200066.5,210069.825
8092,Data Analyst,57500.0,59225.0
8107,Data Engineer,137000.0,141110.0
8160,Senior Data Engineer,160000.0,168000.0
8173,Senior Data Engineer,165186.0,173445.30000000002
8184,Data Engineer,134241.0,138268.23
8192,Data Analyst,115000.0,118450.0
8203,Data Engineer,170000.0,175100.0
8241,Senior Data Scientist,177500.0,186375.0
8249,Data Scientist,79050.0,81421.5
8265,Senior Data Engineer,155000.0,162750.0
8356,Data Engineer,180000.0,185400.0
8423,Data Scientist,65000.0,66950.0
8565,Data Scientist,105000.0,108150.0
8610,Senior Data Engineer,147500.0,154875.0
8643,Senior Data Engineer,79200.0,83160.0
8647,Senior Data Scientist,163000.0,171150.0
8649,Data Engineer,155000.0,159650.0
8685,Data Engineer,200000.0,206000.0
8794,Senior Data Scientist,157500.0,165375.0
8839,Data Analyst,72500.0,74675.0
8841,Data Engineer,102079.8984375,105142.295390625
8876,Senior Data Scientist,157500.0,165375.0
8883,Data Engineer,225000.0,231750.0
8903,Data Scientist,163295.5,168194.365
8906,Senior Data Scientist,150000.0,157500.0
8961,Data Analyst,150000.0,154500.0
8965,Data Scientist,157500.0,162225.0
9013,Data Scientist,115564.5,119031.435
9072,Data Engineer,147500.0,151925.0
9105,Data Scientist,200000.0,206000.0
9114,Senior Data Engineer,127500.0,133875.0
9143,Data Scientist,79200.0,81576.0
9144,Data Scientist,81000.0,83430.0
9150,Senior Data Scientist,141000.0,148050.0
9179,Data Analyst,52500.0,54075.0
9212,Senior Data Engineer,250000.0,262500.0
9255,Data Scientist,111000.0,114330.0
9314,Data Engineer,135000.0,139050.0
9329,Senior Data Analyst,126000.0,132300.0
9340,Data Engineer,215000.0,221450.0
9344,Data Analyst,83000.0,85490.0
9416,Data Scientist,155000.0,159650.0
9435,Senior Data Scientist,125000.0,131250.0
9447,Software Engineer,54000.0,55620.0
9448,Data Analyst,90000.0,92700.0
9455,Data Analyst,99150.0,102124.5
9461,Data Analyst,72500.0,74675.0
9482,Data Analyst,127500.0,131325.0
9493,Data Scientist,95000.0,97850.0
9512,Data Engineer,135000.0,139050.0
9584,Data Analyst,90000.0,92700.0
9599,Senior Data Engineer,180000.0,189000.0
9627,Data Engineer,162355.0,167225.65
9684,Senior Data Analyst,87750.0,92137.5
9710,Data Scientist,145000.0,149350.0
9733,Data Engineer,100000.0,103000.0
9752,Senior Data Engineer,147500.0,154875.0
9757,Senior Data Analyst,115000.0,120750.0
9759,Data Analyst,115000.0,118450.0
9778,Senior Data Analyst,111175.0,116733.75
9815,Data Analyst,100500.0,103515.0
9884,Data Engineer,163000.0,167890.0
9903,Senior Data Engineer,147500.0,154875.0
10019,Data Scientist,196600.0,202498.0
10076,Data Engineer,125500.0,129265.0
10108,Data Analyst,65000.0,66950.0
10119,Data Analyst,131900.0,135857.0
10155,Data Engineer,102000.0,105060.0
10207,Data Engineer,89100.0,91773.0
10211,Data Engineer,147500.0,151925.0
10216,Data Engineer,90000.0,92700.0
10270,Data Engineer,125000.0,128750.0
10306,Senior Data Scientist,117500.0,123375.0
10337,Senior Data Engineer,210000.0,220500.0
10348,Data Analyst,115000.0,118450.0
10394,Data Scientist,168000.0,173040.0
10403,Software Engineer,75000.0,77250.0
10423,Data Engineer,125000.0,128750.0
10463,Data Analyst,115000.0,118450.0
10568,Data Engineer,85000.0,87550.0
10572,Data Engineer,250000.0,257500.0
10598,Data Scientist,115000.0,118450.0
10610,Senior Data Engineer,147500.0,154875.0
10627,Data Engineer,110000.0,113300.0
10666,Senior Data Scientist,152500.0,160125.0
10672,Data Scientist,63000.0,64890.0
10735,Data Engineer,85000.0,87550.0
10789,Data Engineer,130000.0,133900.0
10928,Senior Data Analyst,89100.0,93555.0
10984,Software Engineer,171000.0,176130.0
11032,Data Analyst,110000.0,113300.0
11082,Data Engineer,137112.5,141225.875
11088,Data Engineer,45000.0,46350.0
11094,Data Engineer,157500.0,162225.0
11103,Data Analyst,136793.0,140896.79
11259,Machine Learning Engineer,150000.0,154500.0
11263,Data Scientist,211000.0,217330.0
11281,Senior Data Engineer,90000.0,94500.0
11319,Data Engineer,140000.0,144200.0
11392,Data Scientist,224500.0,231235.0
11412,Data Analyst,50400.0,51912.0
11505,Data Scientist,125000.0,128750.0
11617,Data Scientist,157500.0,162225.0
11639,Data Analyst,56700.0,58401.0
11650,Data Engineer,80000.0,82400.0
11663,Data Engineer,115000.0,118450.0
11673,Data Engineer,63647.1328125,65556.546796875
11695,Data Scientist,117500.0,121025.0
11741,Data Scientist,64821.5,66766.145
11750,Data Scientist,133500.0,137505.0
11819,Data Engineer,130000.0,133900.0
11849,Data Scientist,110000.0,113300.0
11953,Data Engineer,147500.0,151925.0
12021,Senior Data Analyst,85000.0,89250.0
12105,Senior Data Engineer,190000.0,199500.0
12106,Data Analyst,72500.0,74675.0
12124,Data Engineer,175000.0,180250.0
12152,Data Engineer,115000.0,118450.0
12158,Data Analyst,120000.0,123600.0
12284,Data Engineer,117500.0,121025.0
12310,Data Scientist,105000.0,108150.0
12329,Data Scientist,205000.0,211150.0
12335,Data Scientist,89100.0,91773.0
12344,Machine Learning Engineer,128682.0,132542.46
12352,Data Engineer,115000.0,118450.0
12364,Data Engineer,110000.0,113300.0
12401,Data Scientist,162500.0,167375.0
12437,Senior Data Engineer,140000.0,147000.0
12462,Data Scientist,50400.0,51912.0
12498,Data Analyst,127500.0,131325.0
12513,Data Scientist,115000.0,118450.0
12526,Data Analyst,111175.0,114510.25
12530,Data Analyst,52500.0,54075.0
12584,Data Scientist,183310.0,188809.30000000002
12598,Senior Data Scientist,184844.5,194086.725
12602,Data Analyst,97500.0,100425.0
12625,Business Analyst,75000.0,77250.0
12647,Senior Data Engineer,147500.0,154875.0
12714,Senior Data Engineer,175000.0,183750.0
12745,Data Analyst,72900.0,75087.0
12764,Data Engineer,235000.0,242050.0
12783,Data Engineer,100000.0,103000.0
12796,Senior Data Scientist,126000.0,132300.0
12938,Data Engineer,145000.0,149350.0
12986,Data Engineer,147500.0,151925.0
12999,Data Analyst,90000.0,92700.0
13005,Data Scientist,375000.0,386250.0
13059,Business Analyst,46000.0,47380.0
13079,Data Engineer,96773.0,99676.19
13132,Machine Learning Engineer,166000.0,170980.0
13155,Data Engineer,116000.0,119480.0
13164,Software Engineer,90000.0,92700.0
13249,Data Analyst,70250.0,72357.5
13259,Business Analyst,90000.0,92700.0
13307,Data Scientist,80000.0,82400.0
13335,Senior Data Scientist,160000.0,168000.0
13337,Senior Data Engineer,135000.0,141750.0
13350,Data Analyst,53014.0,54604.42
13354,Data Engineer,151000.0,155530.0
13388,Data Engineer,120000.0,123600.0
13391,Data Analyst,157500.0,162225.0
13400,Senior Data Scientist,115000.0,120750.0
13443,Data Analyst,56700.0,58401.0
13460,Data Analyst,155000.0,159650.0
13483,Data Engineer,130000.0,133900.0
13527,Data Engineer,160000.0,164800.0
13545,Data Engineer,125000.0,128750.0
13562,Data Analyst,90000.0,92700.0
13578,Data Scientist,88512.5,91167.875
13584,Data Engineer,45000.0,46350.0
13623,Data Engineer,120000.0,123600.0
13627,Data Scientist,75000.0,77250.0
13688,Data Analyst,175000.0,180250.0
13750,Data Analyst,100000.0,103000.0
13764,Data Scientist,109500.0,112785.0
13772,Data Engineer,140000.0,144200.0
13817,Data Scientist,116950.0,120458.5
13823,Data Engineer,90000.0,92700.0
13825,Data Analyst,111175.0,114510.25
13880,Data Engineer,137533.703125,141659.71421875
13909,Data Scientist,140000.0,144200.0
13913,Software Engineer,89100.0,91773.0
13916,Data Analyst,68000.0,70040.0
13931,Senior Data Analyst,115000.0,120750.0
13948,Data Scientist,80850.0,83275.5
13987,Data Engineer,104000.0,107120.0
13992,Data Engineer,135000.0,139050.0
14007,Data Engineer,107500.0,110725.0
14008,Data Engineer,83283.0,85781.49
14020,Senior Data Scientist,140000.0,147000.0
14021,Senior Data Scientist,160000.0,168000.0
14052,Data Engineer,175000.0,180250.0
14125,Data Analyst,110000.0,113300.0
14175,Data Engineer,125000.0,128750.0
14222,Senior Data Analyst,115000.0,120750.0
14238,Data Scientist,150000.0,154500.0
14270,Data Engineer,157500.0,162225.0
14284,Data Analyst,63000.0,64890.0
14306,Data Analyst,132500.0,136475.0
14338,Data Engineer,129500.0,133385.0
14363,Senior Data Engineer,147500.0,154875.0
14364,Data Scientist,224500.0,231235.0
14366,Data Scientist,144000.0,148320.0
14445,Data Analyst,75000.0,77250.0
14478,Senior Data Scientist,110000.0,115500.0
14481,Senior Data Analyst,149000.0,156450.0
14518,Data Engineer,120000.0,123600.0
14529,Data Analyst,77000.0,79310.0
14561,Data Engineer,130000.0,133900.0
14571,Business Analyst,70000.0,72100.0
14575,Data Engineer,175000.0,180250.0
14595,Senior Data Engineer,175000.0,183750.0
14707,Senior Data Scientist,178500.0,187425.0
14714,Data Analyst,90000.0,92700.0
14724,Data Engineer,98283.0,101231.49
14749,Senior Data Analyst,100000.0,105000.0
14787,Machine Learning Engineer,72000.0,74160.0
14820,Senior Data Engineer,147500.0,154875.0
14840,Data Scientist,119908.0,123505.24
14844,Senior Data Scientist,197000.0,206850.0
14845,Data Analyst,109159.0,112433.77
14894,Data Analyst,110000.0,113300.0
14904,Senior Data Engineer,140000.0,147000.0
14976,Data Scientist,99000.0,101970.0
14980,Data Scientist,132368.0,136339.04
15039,Senior Data Scientist,110000.0,115500.0
15071,Data Engineer,159264.0,164041.92
15110,Data Scientist,225000.0,231750.0
15240,Data Scientist,123692.5,127403.27500000001
15254,Senior Data Scientist,200000.0,210000.0
15289,Senior Data Engineer,147500.0,154875.0
15296,Data Scientist,50400.0,51912.0
15300,Senior Data Scientist,200000.0,210000.0
15308,Software Engineer,175000.0,180250.0
15334,Data Engineer,150000.0,154500.0
15346,Data Scientist,72500.0,74675.0
15354,Data Scientist,123750.0,127462.5
15361,Data Scientist,102500.0,105575.0
15372,Data Analyst,73696.0,75906.88
15497,Business Analyst,200000.0,206000.0
15507,Senior Data Scientist,88128.0,92534.40000000001
15588,Data Scientist,224500.0,231235.0
15616,Data Engineer,147500.0,151925.0
15630,Data Analyst,254000.0,261620.0
15650,Software Engineer,161000.0,165830.0
15699,Senior Data Analyst,49566.5,52044.825000000004
15757,Data Scientist,155000.0,159650.0
15776,Data Scientist,107800.0,111034.0
15875,Data Analyst,90000.0,92700.0
15923,Software Engineer,125000.0,128750.0
15932,Senior Data Engineer,185000.0,194250.0
15992,Data Engineer,99150.0,102124.5
16023,Machine Learning Engineer,56700.0,58401.0
16029,Data Engineer,120000.0,123600.0
16048,Data Analyst,115000.0,118450.0
16173,Data Scientist,180000.0,185400.0
16186,Data Scientist,82500.0,84975.0
16311,Data Scientist,100000.0,103000.0
16332,Data Engineer,100000.0,103000.0
16355,Data Scientist,181000.0,186430.0
16358,Data Scientist,157500.0,162225.0
16387,Data Analyst,66029.5,68010.385
16446,Data Scientist,140998.0,145227.94
16526,Data Analyst,100500.0,103515.0
16664,Data Scientist,99000.0,101970.0
16672,Senior Data Engineer,147500.0,154875.0
16722,Data Analyst,90250.0,92957.5
16761,Senior Data Engineer,140000.0,147000.0
16764,Senior Data Analyst,72900.0,76545.0
16767,Data Scientist,127900.0,131737.0
16801,Senior Data Analyst,64800.0,68040.0
16829,Data Engineer,115000.0,118450.0
16849,Senior Data Analyst,97400.0,102270.0
16897,Data Analyst,75000.0,77250.0
16947,Data Engineer,155000.0,159650.0
16960,Data Scientist,125000.0,128750.0
16977,Machine Learning Engineer,145000.0,149350.0
17023,Data Scientist,125000.0,128750.0
17032,Machine Learning Engineer,155183.5,159839.005
17097,Machine Learning Engineer,166000.0,170980.0
17101,Data Analyst,142500.0,146775.0
17105,Data Scientist,109500.0,112785.0
17226,Data Scientist,173500.0,178705.0
17229,Senior Data Analyst,75907.0,79702.35
17265,Data Analyst,100000.0,103000.0
17299,Data Scientist,125000.0,128750.0
17301,Machine Learning Engineer,50400.0,51912.0
17324,Data Scientist,115000.0,118450.0
17327,Data Analyst,70000.0,72100.0
17348,Data Engineer,90000.0,92700.0
17374,Data Engineer,170000.0,175100.0
17397,Data Engineer,137532.28125,141658.2496875
17406,Cloud Engineer,89100.0,91773.0
17441,Senior Data Engineer,120000.0,126000.0
17461,Data Scientist,182500.0,187975.0
17535,Data Scientist,200000.0,206000.0
17654,Data Engineer,87500.0,90125.0
17664,Data Engineer,146000.0,150380.0
17667,Data Engineer,205000.0,211150.0
17672,Data Engineer,115000.0,118450.0
17675,Data Engineer,116000.0,119480.0
17710,Data Analyst,51014.0,52544.42
17716,Senior Data Scientist,150000.0,157500.0
17736,Data Analyst,90000.0,92700.0
17763,Senior Data Engineer,122500.0,128625.0
17769,Data Engineer,56700.0,58401.0
17781,Data Scientist,155000.0,159650.0
17800,Data Scientist,157500.0,162225.0
17842,Senior Data Scientist,350000.0,367500.0
17843,Data Scientist,183320.0,188819.6
17874,Data Analyst,110000.0,113300.0
17892,Senior Data Analyst,125000.0,131250.0
17895,Data Scientist,229000.0,235870.0
17981,Data Scientist,92500.0,95275.0
18059,Data Analyst,54000.0,55620.0
18082,Data Engineer,90000.0,92700.0
18148,Data Engineer,145000.0,149350.0
18210,Senior Data Analyst,148500.0,155925.0
18212,Data Scientist,150000.0,154500.0
18232,Data Engineer,145000.0,149350.0
18247,Data Analyst,90500.0,93215.0
18264,Data Analyst,55000.0,56650.0
18301,Data Scientist,115000.0,118450.0
18363,Data Scientist,110000.0,113300.0
18391,Machine Learning Engineer,79200.0,81576.0
18481,Data Scientist,375000.0,386250.0
18541,Data Engineer,131000.0,134930.0
18606,Senior Data Engineer,100000.0,105000.0
18608,Data Analyst,37500.0,38625.0
18660,Data Analyst,240000.0,247200.0
18670,Data Scientist,72000.0,74160.0
18711,Senior Data Analyst,112500.0,118125.0
18725,Senior Data Engineer,105000.0,110250.0
18728,Data Analyst,164746.0,169688.38
18741,Data Analyst,112500.0,115875.0
18761,Data Scientist,122500.0,126175.0
18843,Data Engineer,75000.0,77250.0
18905,Senior Data Engineer,115000.0,120750.0
18918,Software Engineer,152500.0,157075.0
19026,Data Analyst,155000.0,159650.0
19065,Data Analyst,86400.0,88992.0
19069,Data Scientist,80000.0,82400.0
19073,Data Analyst,75000.0,77250.0
19074,Data Analyst,94500.0,97335.0
19237,Senior Data Engineer,147500.0,154875.0
19337,Business Analyst,62500.0,64375.0
19346,Data Scientist,115000.0,118450.0
19361,Data Scientist,92500.0,95275.0
19392,Data Analyst,55000.0,56650.0
19408,Senior Data Analyst,95150.0,99907.5
19458,Data Analyst,89100.0,91773.0
19466,Senior Data Analyst,136323.0,143139.15
19476,Data Analyst,111175.0,114510.25
19530,Data Scientist,137000.0,141110.0
19574,Data Analyst,55000.0,56650.0
19577,Data Analyst,140000.0,144200.0
19594,Data Analyst,127500.0,131325.0
19602,Data Scientist,185000.0,190550.0
19701,Data Scientist,90000.0,92700.0
19856,Data Scientist,90670.0,93390.1
19898,Business Analyst,90000.0,92700.0
19900,Data Analyst,95000.0,97850.0
19941,Data Analyst,100500.0,103515.0
20008,Data Scientist,100000.0,103000.0
20017,Data Scientist,60000.0,61800.0
20037,Data Analyst,106250.0,109437.5
20060,Data Scientist,254000.0,261620.0
20066,Data Analyst,75067.5,77319.52500000001
20068,Data Analyst,105000.0,108150.0
20198,Senior Data Engineer,138200.0,145110.0
20452,Business Analyst,105000.0,108150.0
20486,Data Engineer,132000.0,135960.0
20526,Machine Learning Engineer,185500.0,191065.0
20538,Business Analyst,96000.0,98880.0
20567,Senior Data Scientist,182000.0,191100.0
20581,Data Scientist,224500.0,231235.0
20611,Data Scientist,145000.0,149350.0
20635,Data Analyst,115000.0,118450.0
20670,Data Scientist,62692.0,64572.76
20699,Data Scientist,180000.0,185400.0
20725,Data Analyst,53222.0,54818.66
20765,Data Analyst,120000.0,123600.0
20784,Data Scientist,114516.0,117951.48
20817,Data Engineer,147500.0,151925.0
20847,Machine Learning Engineer,69300.0,71379.0
20854,Senior Data Analyst,150000.0,157500.0
20855,Data Scientist,281450.5,289894.015
20901,Senior Data Engineer,173500.0,182175.0
20930,Senior Data Engineer,96773.0,101611.65000000001
20947,Data Scientist,100000.0,103000.0
20967,Data Scientist,119569.5,123156.585
